plate,review_reason_code,customer_meaning,reviewer_comments,status
F OMG,3.0,DAUGHTERS INITIALS,FUCK OH MY GOD,N
FSH BALL,1.0,FISH BALL,FISH… BALL… SOME SORT OF SEXUAL?,N
GUN4HYR,7.0,A CONSTRUCTION WORKER THAT FOLLOWS THE MONEY AND JUMPS FROM COMPANY TO COMPANY,GUN FOR HIRE,N
LCPSY18,4.0,FIST AND LAST INITIAL OF NAME. PSYCHOLOGY PROFESSOR,18-HITLER,N
LILBLKB,7.0,LITTLE BLACK BEE,LIL BLACK BITCH? LAST NAME IS BLACK,N
LYFISHT,3.0,LIFE IS SHORT,LIFE IS SHIT,N
MZ MOLY,7.0,THIS IS MY CARS NAME. SHE IS A 38 YEAR OLD STRAWBERRY BLONDE GIRL. MOLY,MOLLY…. ECSTASY,N
NAVA 14,4.0,NAME BIRTHDAY,14-HITLER,N
OG PLAY,7.0,CHILDHOOD NICKNAME,OG,N
OG RICE,7.0,OLD GUARD RICE,OG,N
OPNWIDE,1.0,REFERS TO MY PROFESSIONAL LINE OF WORK AS A DENTIST,"SEXUAL? OPEN LEGS, OPEN MOUTH?",N
OR DX,1.0,OREGON DUCKS,OR DICKS,N
OVOGANG,7.0,AN ATRISTS MOTO. HE REFERS TO HIS FANS AS GANG MEANING FAMILY,GANG,N
RAJO42O,7.0,NAME MONTH DAY CAME TO AMERICA,420-WEED,N
RJ X 88,4.0,MY ENGLISH FIRST NAME AND YEAR OF BIRTH,88-HITLER,N
RMBO562,7.0,RAMBO IS MY NICKNAME FROM WHEN IW AS A CHILD. EVERYONE KNOWS ME AS RAMBO. 562 IS MY AREA CODE FROM LONG BEACH,562 CUSTOMERS AREA CODE,N
ROAK14,4.0,FIST INITIAL FOR FAMILY MEMBERS,14-HITLER,N
RSPEC13,7.0,CAR MODEL AND YEAR,13-GANG,N
UBRS 51O,7.0,UBER IS MY INTERNET LOG ON AND 510 IS THE MODEL OF MY CAR,510 CA AREA CODE,N
VTARDED,4.0,CADILLAC MODEL CTS-V. VERY FAST,TARDED… RETARDED?,N
YBEAZZY,3.0,NICKNAME,BEEZY. BITCH,N
YR ONE69,1.0,YEAR OF MY 1969 CAMARO,COULDN'T VERIFY 1969,N
1LOWPIG,4.0,"THIS LICENSE PLATE WILL BE PLACED ON A DAILY DRIVEN SHOW TRUCK NAMED ""THE RED PIG"" USED FOR SHOW COVERAGE AND MAGAZINE PURPOSES",PIG,N
2BUCK U,3.0,I WENT TO SAN JOSE STATE. MY SON DID NOT WANT TO GO TO A STATE SCHOOL. HE WENT TO TCU. HE CALLED MY COLLEGE TWO BUCK U.,TO FUCK YOU? BUCK YOU-HIT YOU?,N
619 BSBL,7.0,"619 IS THE AREA CODE OF SAN DIEGO, AND BSBL STANDS FOR BASEBALL. THIS PLATE IS REPRESENTING THE SAN DIEGO PADRES, A PRO BASEBALL TEAM.",619 CA AREA CODE,N
69TRIKE,1.0,1969 TRICYCLE,COULDN'T VERIFY 1969,N
13$GRAM,7.0,13 GRANDCHILDREN LOVE THEIR GRANDMA,13-GANG,N
GIGGEDY,1.0,"FAMILY GUY, QUAGMIRE ALWAYS SAYS GIGGITY GUE",INNUENDO,N
H84BY4Z,7.0,"I HATE 4X4 VEHICLES. SATIRE, AS I WILL BE PUTTING THIS PLATE ON A 4 WHEEL DRIVE TRUCK",HATE,N
MRDRVAN,7.0,MISTER DOCTOR VAN,MURDER VAN,N
TOPNUGS,7.0,TOP NUGS. TOP BRAINS. MY TWIN DAUGHTERS ARE TOP STUDENTS IN THEIR CLASS.,NUGS-WEED,N
U 2 HIGH,7.0,MY CAR IS LOWERED SO OTHER PEOPLES CARS ARE WAY HIGHER THAN MINE,ON DRUGS?,N
2BG NUGZ,7.0,TWO BIG NUGS. TWO BIG BRAINS. MY TWIN DAUGHTERS BOTH SKIPPED 8TH GRADE.,NUGS-WEED,N
BBONGCO,7.0,,BONG IS SOMETHING YOU SMOKE MARIJUANA IN,N
F1OO183,7.0,,OLD PLACARD NUMBER,N
RBN 88,7.0,,88-HITLER RELATED,N
REDLYNE,7.0,,RED GANG COLOR,Y
14 FLEX,7.0,,14-HITLER RELATED. NO 2014,N
69CRZIN,1.0,,NO 69 CAR,N
IH8IED,7.0,,HATE-? IED-IMPROVISED EXPLOSIVE DEVICE. VET PLATE,N
CRPLHLR,2.0,,CRIPPLE HEALER?,N
CRPPL4X,2.0,,CRIPPLE? SAME GUY AS ABOVE,N
FISH HRD,1.0,,HARD?,N
A QUIKI,1.0,A FAST MINI COOPER,"A QUICKY, SEX",N
BTCNBLK,3.0,NICKNAME FOR CAR,BITCHIN BLACK,N
GAZ1969,7.0,,NO 1969 VEHICLE,N
HAWT DAM,3.0,,HOT DAMN,N
LDYNBLU,3.0,,LADY IN BLUE. GANG COLORS?,Y
MH8SH18,2.0,INITIALS OFM ICHELLE AND SYDNEY AND THEIR FAVORITE NUMBERS,18-HITLER,N
STFUDNY,3.0,STOP FEAR UNCERTAINTY AND DOUBT IN THE NEW YEAR,SHUT THE FUCK UP,N
TINAS 7O,7.0,NAME IS TINA. GOING ON A 197O BRONCO,COULDN'T VERIFY TINA OR A 1970 VEHICLE,N
WUSUP B,3.0,WHATS UP BRIAN,WHATS UP BITCH. CUSTOMER IS BRIAN,N
HILDA14,2.0,,14-HITLER,N
FAT NUT,1.0,FAT NUT,LARGE EJACULATION,N
BITZPLZ,3.0,"BITE'S PLEASE, BECAUSE I LOVE TO EAT ALL DIFFERENT KINDS OF FOOD AND TRY NEW THINGS.",BITCH PLEASE,N
CLNASFK,3.0,CLEAN AS FREAK,CLEAN AS FUCK,N
HUNTMOM,7.0,I AM HUNTER'S MOTHER,HUNT MOM. HUNTER'S MOM?,N
NOTARY G,7.0,,G,N
WHS 18,2.0,WALNUT HIGH CLASS OF 2018,18-HITLER,N
WTF BYE,3.0,BYE BYE BRO,WHAT THE FUCK.,N
FUMONEY,3.0,FUN MONEY,FUCK YOU MONEY,N
BUTCH B,3.0,,LOOKS LIKE BUTCH BITCH,N
D JERK,2.0,MY WIFE CALLS ME THAT ITS MY NICK NAME,LOOKS LIKE DA JERK,N
FUNKLFE,3.0,A TYPE OF MUSIC THAT ONE HAS GROWN UP WITH AND STILL FOLLOWS,LOOKS LIKE FUCK LIFE,Y
GABECAT,1.0,GABRIEL CATHY,"NO VEHICLE SHOWN IN ANI FOR HELLCAT, OR JAG ETC",N
HEMICYD,2.0,,LOOKS LIKE HOMICIDE,N
HIGHBOI,2.0,,LOOKS LIKE HIGH AS IN ON DRUGS,N
LH 562,2.0,,562 AREA CODE,N
LUV VAN,1.0,,LOVE  VAN CAN BE A VAN USED FOR SEX,N
N5A1BOT,2.0,VIDEO GAME REFERENCE,510 AREA CODE,N
OG HCAT,1.0,ORIGINAL HELLCAT,OG AS IN ORIGINAL GANGSTER,N
OTLAW 1,2.0,OUTLAW 1,OUTLAW AS IN GANGSTER,N
OUTHOUS,2.0,OUT HOUSE - FOR RV,AN OUT HOUSE IS USED FOR USING THE RESTROOM,Y
SAABNUT,1.0,CRAZZY ABOUT SAAB BRAND CARS,SAAB NUT.. SAAB IS A CAR NUT CAN BE SEXUAL OR CAN MEAN CRAZY,N
SIX5O,2.0,650 BMW,650 AREA CODE,Y
SIX6XI,2.0,,666 MARK OF THE BEAST THE DEVIL EVIL,Y
STR8 KLS,2.0,,STRAIGHT KILLS,N
SUPR POO,2.0,,SUPER POO,N
XO1OHO,1.0,NO MEANING,HO LOOKS LIKE HOE,N
1DOPE S5,2.0,ITS A COOL AUDI S5,DOPE COULD MEAN NICE OR BE A DRUG REFERENCE,Y
4O8RD8R,2.0,THE LICENSE PLATE SIGNIFIES MY HOMETOWN SAN JOSE AND MY FAVORITE NFL TEAM THE RAIDERS.,408 RAIDER,N
5HUNWYS,2.0,500 WAYS,500 HUNDRED WAYS,Y
6 X TREE,2.0,,LOOKS LIKE 6 X3=18 = HITLER REFERENCE OR 666 MARK OF THE BEAST,N
7O7 PLUS,2.0,707 HORSEPOWER PLUS A LITTLE MORE,707 AREA CODE,Y
8 USC 8,2.0,UNIVERSITY OF SOUTHERN CALIFORNIA,88 HITLER REFERENCE,N
GAYMUR,4.0,AM A GAY MAN WHO LOVES PLAYING VIDEO GAMES (GAY GAYMER),LOOKS LIKE HE IS SAYING GAMER BUT HE IS USING GAY.. COULD BE TAKEN OFFENSIVLY,Y
MF$TGAR,3.0,PLATE HOLDER'S INITIALS AND THE ACRONYM FOR TWO GIRLS ANIMAL RESCUE (WHICH SHE IS CO-FOUNDER),MF LOOKS LIKE MOTHER FUCKER,N
$R TOES,1.0,LOVE HER TOES,LOVE HER TOES,Y
14$ETTA,2.0,,14 GANG REFERENCE NO 2014 ON RECORD,N
HDST76O,2.0,HIGH DESERT 760,760 AREA CODE,N
H8TZRS,2.0,HATE TEASERS,H8 LOOKS LIKE HATE,N
PLBY73,1.0,PLAYBOY EMPLOYEE HIRED IN 1973,"PLAYBOY… PLAYBOY IS A SEX MAGAZINE HOWEVER THE ""PLAYBOY"" HAS A RETENTION RECORD",N
BUNTA F,1.0,"SHORT FOR ""BUNTA FUJIWARA"" A FICTIONAL CHARACTER",ANAL RAPE PER URBAN DICTIONARY,N
G DOG,2.0,NICK NAME,G AS IN GANGSTER,N
IYAOYAS,4.0,"IF YOU AIN'T ORDNANCE, YOU AIN'T SPECIAL. (IT'S A USMC ACRONYM.)",IF YOU AINT ORDINANCE YOU AINT SHIT.. A MILITARY TERM,N
KISNKUZ,1.0,KISSING BECAUSE,KISSING COUSINS,N
LJEFFE,2.0,NICKNAME FOR VEHICLE,EL JEFE THE BOSS,N
OG SWAG,2.0,ORIGINAL STYLE,ORIGINAL GANGSTER SWAG,N
PULLN 14,2.0,,14 CUSTOMER DOES HAVE A 2014 GMC,Y
REDROCK,2.0,THE COLOR OF THE CAR,RED,Y
SHAFFED,1.0,"MY LAST NAME AND I LIKE TO DO MY OWN CAR WORK AND WORK ON OTHERS CARS ""YOU GOT SHAFFED""","CUSTOMER LAST NAME IS SHAFFER, BUT SHAFT IS ANOTHER WORD FOR PENIS",N
SHZAKLA,2.0,SHEZAKILLA,SHE'S A KILLA,N
UHL CURSE,2.0,,YOULL CURSE,N
2 BLUE IZ,2.0,TO BLUE EYES,BLUE,Y
OG RIDE,2.0,OLD GUY MOTERCYCLE,ORIGINAL GANGSTER RIDE,N
AKK47,2.0,"MY INITIALS PLUS MY TWO LUCKY NUMBERS, WHICH HAPPEN TO SOUND LIKE A NICE GUN I LIKE.",LOOKS LIKE AK 47 AS IN GUN,N
BGD W211,2.0,AIRMATIC AND MERCEDES BENZ MODEL NUMBER,211 AS IN ROBBERY,N
BJ GRND,1.0,NAME OF COMPANY - BJ GRINDING INC,BJ GRIND.  BLOW JOB GRIND IS A SEXUAL REFERENCE,N
DGAFLOL,2.0,I WORK WITH DEGAFFREY'S LAW ASSOCIATE,DON’T GIVA A FUCK LAUGH OUT LOUD,N
DGAF247,2.0,ITS MINE AND MY HUSBANDS INITIALS AND THE DATE WE WERE MARRIED. ITS VERY SENTIMENTAL TO US.,DON’T GIVE A FUCK 24/7,N
GMS 14,4.0,BUSINESS NAME,14 GANG REFERENCE,N
JESSBOX,1.0,NICKNAME,BOX,N
KAT KOCH,1.0,NAME OF A PERSON NAME = KAT (KATHARINA) LAST NAME = KOCH,CAT COACH,N
LARA 8O5,4.0,,805 AREA CODE,N
LIL515O,4.0,JUST A LITTLE WILD AND FUN PERSON,5150 CRAZY,Y
MOCHOMO,2.0,ANT SPECIES,"MEXICAN DRUG LORD ""THE DESSERT ANT""",N
MY7OCUT,1.0,MY 1970 CUTLASS,CUT COULD MEAN CUTLASS OR CUT IS A SEXUAL REFERENCE,Y
NECIA 88,4.0,IT MEANS STUBBORN AND THE YEAR I WAS BORN,88 HITLER REFERENCE,N
OFFCR HI,5.0,"GIVING A FRIENDLY GESTURE, NOTHING BAD",HI OFFICER,N
OLD BS,3.0,THE TRUCK IS THE LAST YEAR OF THE OLD BODY STYLE FORDS.,BS BULL SHIT,N
POOPELL,2.0,THIS IS A NICKNAME THAT MY LATE GRANDFATHER USED TO CALL ME. IT HAS GREAT PERSONAL MEANING TO ME.,POOP,N
PZA TACO,1.0,MY TWO FAVORITE THINGS PIZZA AND TACOS,TACO,N
RICH KAT,1.0,RICH AND KAT,RICH CAT.. EXPENSIVE CAT,N
SHUFTSH,1.0,SHOE FETISH,SHOE FETISH,Y
TERCA88,4.0,IT MEANS STUBBORN AND THE YEAR I WAS BORN,88 HITLER REFERENCE,N
THUGLYG,2.0,,THE UGLY F.. NOT SURE WHAT THE F MEANS,N
WOR HORS,1.0,,WAR WHORES.. WORK HORSE,N
WSIXVTY,4.0,,LOOKS LIKE 650 AREA CODE,N
YYMAN 69,1.0,XXX,MAN 69,N
ZEROFCK,3.0,IM A 9 GAGGER AND A ENTHUSIAST OF CARS. I CAN SAY CARS ARE PRETTY MUCH MY LIFE RIGHT NOW.,O FUCKS,N
13 N144E,4.0,COORDINATES OF MY BIRTHPLACE (GUAM),13 GANG REFERENCE,N
3KS N 1E,4.0,,3KS LOOKS LIKE KKK,N
8 BZI 8,4.0,MY NAME,88 HITLER REFERENCE,N
8DIAZ13,4.0,DIAZ IS MY LAST NAME AND THE NUMBERS ARE THE BIRTH DATES OF MY KIDS,13 GANG REFERENCE,N
88JOY88,4.0,8 IS ONE OF MY FAVORITE/LUCKY NUMBERS AND JOY IS MY NAME,HITLER REFERENCE,N
AIRS$FT,2.0,AIRSOFT SPORT WE LOVE,AIRSOFT SHOOTING,N
I$MYAR,2.0,I LOVE MY ALPHA RAMEO,I LOVE MY AR AR RIFLE,N
VAGIN$R,1.0,"MY FAVORITE DRINK IS BOWMAN'S VIRGINIA GIN (VA) FOR VIRGINIA AND GIN FOR GIN, SO THIS PLATE WOULD BE READ ""VIRGINIA GIN LOVER""",VAGINA LOVER,N
3&14 PI,4.0,THE FIRST 3 DIGITS OF PI,PIE 14 GANG REFERENCE,N
HYDR,2.0,HYDRO,HYDR HYDRAULICS OR HYDROPONICS,N
RMPSSI,1.0,COMPANY NAME,PSSI LOOKS LIKE PUSSY,N
AHHBLUE,4.0,BLUE WAS THE NICKNAME GIVEN TO ME BY MY FATHER GROWING UP,BLUE,Y
BENDEJO,7.0,SPANGLISH SLANG FOR VILLAGE IDIOT,PENDEJO CURESE WORD IN SPANISH,N
BYTE ME2,2.0,"BYTE ME TWO, MATCHING SPOUSE'S PLATES",BITE ME TOO,Y
COJONIS,7.0,IT MEANS COURAGE,THIS LOOKS LIKE THE SPANISH WORK COJONES,N
EXCON,2.0,XCON,EX CON,N
GTSGTFO,3.0,GLOBAL TECHNOLOGY SOLUTIONS GROUP FINANCE OFFICER,GTFO GET THE FUCK  OUT,N
ISISCAR,2.0,,ISIS CAR,N
PSI DOC,1.0,PRO SPORTS INSTITUTE DOCTOR,PUSSY DOCTOR,N
S14 97,4.0,,14 GANG REFERENCE,N
TN7,2.0,NAME OF OUR RANCH 10-7,LOOKS LIKE TNT,N
URDUNN4,2.0,LAST NAME IS DUN AND WE ARE A FAMILY OF FOUR,YOURE DONE FOR,N
3100 BLK,4.0,3100 BLOCK,3100 BLOCK,N
BLUSHRK,4.0,BLUE HARLEY,BLUE,Y
GOFUKIT,3.0,FOR MOTORCYCLE,GO FUCK IT,N
CHRG4PS,1.0,CHARGE FOR PEACE,LOOKS LIKE CHARGE FOR PS… NOT SURE WHAT PS MEANS,N
BLK88BZ,2.0,NICKNAME AND BIRTH YEAR,88-HITLER. BIRTH YEAR VERIFIED AS '88,N
BUIOO13,2.0,NO MEANING,13-GANG,N
ENOX 13,2.0,MY NAME AND UNION NUMBER,13-GANG,N
HRSHT66,3.0,,HER SHIT '66,N
IBD88,2.0,MY INITIALS AND LUCKY YEAR,88-HITLER. INITIALS VERIFIED,N
KB 88 RV,2.0,,88-HITLER,N
M 65O V,7.0,,CUSTOMERS MOUNTAIN VIEW AREA CODE,N
PDCC42O,7.0,,420- WEED,N
87O,7.0,HISTORIC DATE,A TYPE OF REMINGTON GUN,N
BDAZTKR,3.0,ONE GREAT TRUCK DRIVER,BADASS TRUCKER,N
HLNAUSS,3.0,IM HAULING AUSS (AN AUSTRALIAN SHEPHERD- MY DOG'S BREED),HAULIN ASS,N
S14 BLK,2.0,,14-HITLER,Y
88 CAB,2.0,1988 PORSCHE CABRIOLET,88-HITLER. HAS AN '88 PORSCHE,Y
AENIMA,3.0,THE ROCK BAND TOOL'S SECOND ALBUM TITLE  FROM 1996,CUSTOMER MEANING IS TRUE BUT LOOKS AND SOUNDS LIKE ENEMA,N
ALDRG59,3.0,ALLDREDGE 1959,ALL DRUG (CUSTOMER LAST NAME IS ALLDREDGE),Y
AMFZB24,3.0,"IT'S MY NAME, JASON, ENCODED TO BASE64. I JUST WANT THE BLACK AND YELLOW PLATE SO THAT'S WHAT I CAME UP WITH.",AMF=ADIOS MOTHERFUCKER,N
BADBASS,1.0,NICK NAME,BASS OR ASS,N
BAD MTF,3.0,CLASSIC CAR,"BAD MOTHERFUCKER, HAS A 57 CHEVY",N
BEAR4SS,1.0,ANIMAL AND CAR MODEL,"BEAR OR BARE ASS, DOES HAVE A 2010  CHEVY",N
BIG D XB,1.0,BIG DENNIS/ BIG DADDY SCION XB,"BIG D=BIG DICK, CUSTOMER NAME IS DENNIS",N
BJS4DDS,1.0,MY INITIALS AND MY WIFE INITIALS,BLOW JOBS FOR DENTAL WORK… CUSTOMER IS BRIAN J SAMUELS,N
BLKKTZE,1.0,IT'S A BUSINESS NAME,BLACK CATS? PULLED FOR CAT=PUSSY,Y
BLU PNY,2.0,BLUE PONY,BLUE=GANG COLOR. HAS 2016 FORD,Y
BMFN42O,3.0,BEST MUSTANG FORD 420 HORSE POWER,"MOTHERFUCKING 420, HAS 2014 FORD",N
BONE BZ,1.0,ORTHOPEDIC SURGERY,BONE=SEX,N
BROK3 AF,3.0,"BROTHERK3 ARTIC FOX, ITS MY XBOX GAMERTAG AND USERNAME",BROKE AS FUCK,N
CABIN 5O,5.0,OUR CABIN NUMBER FOR OUR HOUSE AT HUME  LAKE.,50=police,Y
CAULGUY,1.0,PERSON IS BORN WITH A CAUL OR A VEIL. FACE IS COVERED BY PART OF WOMB.IT IS CONSIDERED GOOD LUCK OR VERY SPRITUAL.,CUSTOMER MEANING IS TRUE BUT SOUNDS LIKE 'CALL GUY'… CALL GIRL WOULD BE A PROSTITIUTE,N
CDA14,2.0,FIRST INITIAL OF MY SON MYSELF AND MY SON  AND  BIRTHDAY OF MY HUSBAND,"HAS 2014 CHEVY, 14 CAN BE HATE SYMBOL",Y
CHIHOE,1.0,THIS IS MY LEGAL FIRST NAME,"PULLED FOR HOE, THIS IS HIS REAL FIRST NAME",N
CICARIO,2.0,5XPP825,SICARIO MEANS HITMAN OR HIRED KILLER IN SPANISH,N
CLD SQD,5.0,"MY WIFE'S TV SHOW IS ""COLD SQUAD""",COLD SQUAD IS A POLICE TV SHOW,N
CPSLO 13,2.0,"CAL POLY SAN LUIS OBISPO, GRADUATION 2013","13 CAN BE A GANG NUMBER, NO 2013 CAR",Y
DAYGO13,2.0,SAN DIEGO 13 LUCKY NUMBER,"DAGO=SLUR AGAINST ITALIANS, 13=GANG NUMBER, NO 2013 CAR",N
DRG DADY,3.0,I LOVE DRAG RACING EVENTS. AND I AM A DAD.,DRUG DADDY,N
DRTY SXO,1.0,TRUCKS ALWAYS DIRTY AND IS A 6 LITER ENGINE,DIRTY SEX (SEXO=SEX IN SPANISH),N
DSCHBAG,2.0,DSCH IS A BRAND OF BAG OF GERMAN  (DEUTSCHE)  BAGS THAT I LOVE.,DOUCHEBAG,N
EAT CHIA,1.0,I AM DOING A RESEARCH ON CHIA SEEDS SO I  WANT TO PROMOTE IT,EAT,Y
EVOWEVO,1.0,MEXICAN EGG,"WEVO=HUEVO, CAN MEAN EGG OR TESTICLE",N
FATTO 1,2.0,IT IS THE NAME OF A GIRL IN A PUNJABI SONG   THAT  IS DESCRIBED AS SASSY.,IT IS A SONG. COULD BE INSULTING IN ENGLISH,N
FATTO 2,2.0,FATTO IS THE NAME OF A SASSY GIRL IN A   PUNJABI  SONG,IT IS A SONG. COULD BE INSULTING IN ENGLISH,N
FED S 69,1.0,"ABBREVIATION OF OUR NAME, FEDER.",no 69 car on ani,N
FNVADER,3.0,"""FUN VADER"" THIS IS MY TOY TRUCK, AND IT'S ALL BLACK AND LOOKS LIKE DARTH VADER",EFFIN VADER,N
FRD EETR,1.0,I DON'T LIKE FORD TRUCKS,EAT,N
F TESLA,3.0,TESLAS R TOO ESPENSIVE,FUCK TESLA,N
FTG GCG,3.0,INITIALS IN MEMORY OF MY GRANDPARENTS  FRANCIS THOMAS GRAY AND GRACY CAITLYN   GRAY,FTG=FUCK THE GUARD (COASTGUARD) OR GOVERNMENT…,N
FUQYOU1,3.0,SENTIMENTAL REASONS,FUCK YOU,N
GASPASR,3.0,I AM A NURSE ANESTHETIST,"GAS PASSER, SHE PASSES GAS (FARTS)",N
GD 818,2.0,G-DRAGON'S INITIALS WITH HIS BIRTHDAY. HE IS A KOREAN SINGER AND HE IS MY IDOL,818=LOS ANGELES AREA CODE,N
GETATME,1.0,PICK UP LINE FROM THE 2010'S,"GET AT ME, SEXUAL?",Y
GOBALLA,2.0,MY LAST NAME IS BALLA,"GO BALLER, CUSTOMER LAST NAME IS BALLA",N
GO G MEN,5.0,"GO GIANTS, G-MEN IS A NICKNAME FOR THE SAN FRANCISCO  GIANTS","G-MAN SHORT FOR GOVERNMENT MAN, MEANS AN FBI OR CIA AGENT",Y
GSGOMG,2.0,KIDS INITIALS,GSG=GUNSLINGER GIRL (ANIME) PER ACRONYM FINDER.,Y
GTUMBLR,2.0,G WAGON TUMBLER- LIKE FROM BATMAN,pulled for g (gangster) ani does show a MBZ 2016 could be a G Class,Y
GUN ACE,2.0,MY CHILDREN'S NAMES: GUNTHER AND ACE,gun,N
GURUJP,2.0,GURUJEEP IS MY JEEP'S NAME.,"JAP? NO JEEP ON ANI, HAS HONDA",N
HALF333,2.0,BABY EVIL,333 IS HALF OF 666,Y
HALF666,2.0,BABY DEMON,PULLED FOR REVIEW OF 666 (SAME CUSTOMER AS HALF333),Y
HAMMER H,1.0,NICKNAME,HAMMER=PENIS,N
HAMMERS,1.0,HAMMER HAS BEEN MY NICKNAME SINCE I WAS 3 YEARS OLD AND I AM SAYING THAT THE TRUCK IS MINE THROUGH THAT NICKNAME,HAMMER=PENIS,N
HELGRRR,3.0,THE NAME OF THE CAR,"pulled for Hell, no Hellcat. Has a VW",Y
HJ 4G,2.0,4 GIRLS,G=GANGSTER,N
JCSTACO,1.0,JUAN CARLOS TACOMA,"has a toyota truck on ani, pulled for taco=pussy",N
