plate,review_reason_code,customer_meaning,reviewer_comments,status
LILBLKB,7.0,LITTLE BLACK BEE,LIL BLACK BITCH? LAST NAME IS BLACK,N
LYFISHT,3.0,LIFE IS SHORT,LIFE IS SHIT,N
MZ MOLY,7.0,THIS IS MY CARS NAME. SHE IS A 38 YEAR OLD STRAWBERRY BLONDE GIRL. MOLY,MOLLY…. ECSTASY,N
NAVA 14,4.0,NAME BIRTHDAY,14-HITLER,N
OG PLAY,7.0,CHILDHOOD NICKNAME,OG,N
OG RICE,7.0,OLD GUARD RICE,OG,N
OPNWIDE,1.0,REFERS TO MY PROFESSIONAL LINE OF WORK AS A DENTIST,"SEXUAL? OPEN LEGS, OPEN MOUTH?",N
OR DX,1.0,OREGON DUCKS,OR DICKS,N
OVOGANG,7.0,AN ATRISTS MOTO. HE REFERS TO HIS FANS AS GANG MEANING FAMILY,GANG,N
RAJO42O,7.0,NAME MONTH DAY CAME TO AMERICA,420-WEED,N
RJ X 88,4.0,MY ENGLISH FIRST NAME AND YEAR OF BIRTH,88-HITLER,N
RMBO562,7.0,RAMBO IS MY NICKNAME FROM WHEN IW AS A CHILD. EVERYONE KNOWS ME AS RAMBO. 562 IS MY AREA CODE FROM LONG BEACH,562 CUSTOMERS AREA CODE,N
ROAK14,4.0,FIST INITIAL FOR FAMILY MEMBERS,14-HITLER,N
RSPEC13,7.0,CAR MODEL AND YEAR,13-GANG,N
UBRS 51O,7.0,UBER IS MY INTERNET LOG ON AND 510 IS THE MODEL OF MY CAR,510 CA AREA CODE,N
VTARDED,4.0,CADILLAC MODEL CTS-V. VERY FAST,TARDED… RETARDED?,N
YBEAZZY,3.0,NICKNAME,BEEZY. BITCH,N
YR ONE69,1.0,YEAR OF MY 1969 CAMARO,COULDN'T VERIFY 1969,N
1LOWPIG,4.0,"THIS LICENSE PLATE WILL BE PLACED ON A DAILY DRIVEN SHOW TRUCK NAMED ""THE RED PIG"" USED FOR SHOW COVERAGE AND MAGAZINE PURPOSES",PIG,N
2BUCK U,3.0,I WENT TO SAN JOSE STATE. MY SON DID NOT WANT TO GO TO A STATE SCHOOL. HE WENT TO TCU. HE CALLED MY COLLEGE TWO BUCK U.,TO FUCK YOU? BUCK YOU-HIT YOU?,N
619 BSBL,7.0,"619 IS THE AREA CODE OF SAN DIEGO, AND BSBL STANDS FOR BASEBALL. THIS PLATE IS REPRESENTING THE SAN DIEGO PADRES, A PRO BASEBALL TEAM.",619 CA AREA CODE,N
69TRIKE,1.0,1969 TRICYCLE,COULDN'T VERIFY 1969,N
13$GRAM,7.0,13 GRANDCHILDREN LOVE THEIR GRANDMA,13-GANG,N
GIGGEDY,1.0,"FAMILY GUY, QUAGMIRE ALWAYS SAYS GIGGITY GUE",INNUENDO,N
H84BY4Z,7.0,"I HATE 4X4 VEHICLES. SATIRE, AS I WILL BE PUTTING THIS PLATE ON A 4 WHEEL DRIVE TRUCK",HATE,N
MRDRVAN,7.0,MISTER DOCTOR VAN,MURDER VAN,N
TOPNUGS,7.0,TOP NUGS. TOP BRAINS. MY TWIN DAUGHTERS ARE TOP STUDENTS IN THEIR CLASS.,NUGS-WEED,N
U 2 HIGH,7.0,MY CAR IS LOWERED SO OTHER PEOPLES CARS ARE WAY HIGHER THAN MINE,ON DRUGS?,N
2BG NUGZ,7.0,TWO BIG NUGS. TWO BIG BRAINS. MY TWIN DAUGHTERS BOTH SKIPPED 8TH GRADE.,NUGS-WEED,N
A QUIKI,1.0,A FAST MINI COOPER,"A QUICKY, SEX",N
BTCNBLK,3.0,NICKNAME FOR CAR,BITCHIN BLACK,N
MH8SH18,2.0,INITIALS OFM ICHELLE AND SYDNEY AND THEIR FAVORITE NUMBERS,18-HITLER,N
STFUDNY,3.0,STOP FEAR UNCERTAINTY AND DOUBT IN THE NEW YEAR,SHUT THE FUCK UP,N
TINAS 7O,7.0,NAME IS TINA. GOING ON A 197O BRONCO,COULDN'T VERIFY TINA OR A 1970 VEHICLE,N
WUSUP B,3.0,WHATS UP BRIAN,WHATS UP BITCH. CUSTOMER IS BRIAN,N
FAT NUT,1.0,FAT NUT,LARGE EJACULATION,N
BITZPLZ,3.0,"BITE'S PLEASE, BECAUSE I LOVE TO EAT ALL DIFFERENT KINDS OF FOOD AND TRY NEW THINGS.",BITCH PLEASE,N
CLNASFK,3.0,CLEAN AS FREAK,CLEAN AS FUCK,N
HUNTMOM,7.0,I AM HUNTER'S MOTHER,HUNT MOM. HUNTER'S MOM?,N
WHS 18,2.0,WALNUT HIGH CLASS OF 2018,18-HITLER,N
WTF BYE,3.0,BYE BYE BRO,WHAT THE FUCK.,N
FUMONEY,3.0,FUN MONEY,FUCK YOU MONEY,N
D JERK,2.0,MY WIFE CALLS ME THAT ITS MY NICK NAME,LOOKS LIKE DA JERK,N
FUNKLFE,3.0,A TYPE OF MUSIC THAT ONE HAS GROWN UP WITH AND STILL FOLLOWS,A TYPE OF MUSIC THAT ONE HAS GROWN UP WITH AND STILL FOLLOWS,Y
GABECAT,1.0,GABRIEL CATHY,"NO VEHICLE SHOWN IN ANI FOR HELLCAT, OR JAG ETC",N
N5A1BOT,2.0,VIDEO GAME REFERENCE,510 AREA CODE,N
OG HCAT,1.0,ORIGINAL HELLCAT,OG AS IN ORIGINAL GANGSTER,N
OTLAW 1,2.0,OUTLAW 1,OUTLAW AS IN GANGSTER,N
OUTHOUS,2.0,OUT HOUSE - FOR RV,OUT HOUSE - FOR RV,Y
SAABNUT,1.0,CRAZZY ABOUT SAAB BRAND CARS,SAAB NUT.. SAAB IS A CAR NUT CAN BE SEXUAL OR CAN MEAN CRAZY,N
SIX5O,2.0,650 BMW,650 BMW,Y
XO1OHO,1.0,NO MEANING,HO LOOKS LIKE HOE,N
1DOPE S5,2.0,ITS A COOL AUDI S5,ITS A COOL AUDI S5,Y
4O8RD8R,2.0,THE LICENSE PLATE SIGNIFIES MY HOMETOWN SAN JOSE AND MY FAVORITE NFL TEAM THE RAIDERS.,408 RAIDER,N
5HUNWYS,2.0,500 WAYS,500 WAYS,Y
7O7 PLUS,2.0,707 HORSEPOWER PLUS A LITTLE MORE,707 HORSEPOWER PLUS A LITTLE MORE,Y
8 USC 8,2.0,UNIVERSITY OF SOUTHERN CALIFORNIA,88 HITLER REFERENCE,N
GAYMUR,4.0,AM A GAY MAN WHO LOVES PLAYING VIDEO GAMES (GAY GAYMER),AM A GAY MAN WHO LOVES PLAYING VIDEO GAMES (GAY GAYMER),Y
MF$TGAR,3.0,PLATE HOLDER'S INITIALS AND THE ACRONYM FOR TWO GIRLS ANIMAL RESCUE (WHICH SHE IS CO-FOUNDER),MF LOOKS LIKE MOTHER FUCKER,N
$R TOES,1.0,LOVE HER TOES,LOVE HER TOES,Y
HDST76O,2.0,HIGH DESERT 760,760 AREA CODE,N
H8TZRS,2.0,HATE TEASERS,H8 LOOKS LIKE HATE,N
PLBY73,1.0,PLAYBOY EMPLOYEE HIRED IN 1973,"PLAYBOY… PLAYBOY IS A SEX MAGAZINE HOWEVER THE ""PLAYBOY"" HAS A RETENTION RECORD",N
BUNTA F,1.0,"SHORT FOR ""BUNTA FUJIWARA"" A FICTIONAL CHARACTER",ANAL RAPE PER URBAN DICTIONARY,N
G DOG,2.0,NICK NAME,G AS IN GANGSTER,N
IYAOYAS,4.0,"IF YOU AIN'T ORDNANCE, YOU AIN'T SPECIAL. (IT'S A USMC ACRONYM.)",IF YOU AINT ORDINANCE YOU AINT SHIT.. A MILITARY TERM,N
KISNKUZ,1.0,KISSING BECAUSE,KISSING COUSINS,N
LJEFFE,2.0,NICKNAME FOR VEHICLE,EL JEFE THE BOSS,N
OG SWAG,2.0,ORIGINAL STYLE,ORIGINAL GANGSTER SWAG,N
REDROCK,2.0,THE COLOR OF THE CAR,THE COLOR OF THE CAR,Y
SHAFFED,1.0,"MY LAST NAME AND I LIKE TO DO MY OWN CAR WORK AND WORK ON OTHERS CARS ""YOU GOT SHAFFED""","CUSTOMER LAST NAME IS SHAFFER, BUT SHAFT IS ANOTHER WORD FOR PENIS",N
SHZAKLA,2.0,SHEZAKILLA,SHE'S A KILLA,N
2 BLUE IZ,2.0,TO BLUE EYES,TO BLUE EYES,Y
OG RIDE,2.0,OLD GUY MOTERCYCLE,ORIGINAL GANGSTER RIDE,N
AKK47,2.0,"MY INITIALS PLUS MY TWO LUCKY NUMBERS, WHICH HAPPEN TO SOUND LIKE A NICE GUN I LIKE.",LOOKS LIKE AK 47 AS IN GUN,N
BGD W211,2.0,AIRMATIC AND MERCEDES BENZ MODEL NUMBER,211 AS IN ROBBERY,N
BJ GRND,1.0,NAME OF COMPANY - BJ GRINDING INC,BJ GRIND.  BLOW JOB GRIND IS A SEXUAL REFERENCE,N
DGAFLOL,2.0,I WORK WITH DEGAFFREY'S LAW ASSOCIATE,DON’T GIVA A FUCK LAUGH OUT LOUD,N
DGAF247,2.0,ITS MINE AND MY HUSBANDS INITIALS AND THE DATE WE WERE MARRIED. ITS VERY SENTIMENTAL TO US.,DON’T GIVE A FUCK 24/7,N
GMS 14,4.0,BUSINESS NAME,14 GANG REFERENCE,N
JESSBOX,1.0,NICKNAME,BOX,N
KAT KOCH,1.0,NAME OF A PERSON NAME = KAT (KATHARINA) LAST NAME = KOCH,CAT COACH,N
LIL515O,4.0,JUST A LITTLE WILD AND FUN PERSON,JUST A LITTLE WILD AND FUN PERSON,Y
MOCHOMO,2.0,ANT SPECIES,"MEXICAN DRUG LORD ""THE DESSERT ANT""",N
MY7OCUT,1.0,MY 1970 CUTLASS,MY 1970 CUTLASS,Y
NECIA 88,4.0,IT MEANS STUBBORN AND THE YEAR I WAS BORN,88 HITLER REFERENCE,N
OFFCR HI,5.0,"GIVING A FRIENDLY GESTURE, NOTHING BAD",HI OFFICER,N
OLD BS,3.0,THE TRUCK IS THE LAST YEAR OF THE OLD BODY STYLE FORDS.,BS BULL SHIT,N
POOPELL,2.0,THIS IS A NICKNAME THAT MY LATE GRANDFATHER USED TO CALL ME. IT HAS GREAT PERSONAL MEANING TO ME.,POOP,N
PZA TACO,1.0,MY TWO FAVORITE THINGS PIZZA AND TACOS,TACO,N
RICH KAT,1.0,RICH AND KAT,RICH CAT.. EXPENSIVE CAT,N
SHUFTSH,1.0,SHOE FETISH,SHOE FETISH,Y
TERCA88,4.0,IT MEANS STUBBORN AND THE YEAR I WAS BORN,88 HITLER REFERENCE,N
YYMAN 69,1.0,XXX,MAN 69,N
ZEROFCK,3.0,IM A 9 GAGGER AND A ENTHUSIAST OF CARS. I CAN SAY CARS ARE PRETTY MUCH MY LIFE RIGHT NOW.,O FUCKS,N
13 N144E,4.0,COORDINATES OF MY BIRTHPLACE (GUAM),13 GANG REFERENCE,N
8 BZI 8,4.0,MY NAME,88 HITLER REFERENCE,N
8DIAZ13,4.0,DIAZ IS MY LAST NAME AND THE NUMBERS ARE THE BIRTH DATES OF MY KIDS,13 GANG REFERENCE,N
88JOY88,4.0,8 IS ONE OF MY FAVORITE/LUCKY NUMBERS AND JOY IS MY NAME,HITLER REFERENCE,N
AIRS$FT,2.0,AIRSOFT SPORT WE LOVE,AIRSOFT SHOOTING,N
I$MYAR,2.0,I LOVE MY ALPHA RAMEO,I LOVE MY AR AR RIFLE,N
VAGIN$R,1.0,"MY FAVORITE DRINK IS BOWMAN'S VIRGINIA GIN (VA) FOR VIRGINIA AND GIN FOR GIN, SO THIS PLATE WOULD BE READ ""VIRGINIA GIN LOVER""",VAGINA LOVER,N
3&14 PI,4.0,THE FIRST 3 DIGITS OF PI,PIE 14 GANG REFERENCE,N
HYDR,2.0,HYDRO,HYDR HYDRAULICS OR HYDROPONICS,N
RMPSSI,1.0,COMPANY NAME,PSSI LOOKS LIKE PUSSY,N
AHHBLUE,4.0,BLUE WAS THE NICKNAME GIVEN TO ME BY MY FATHER GROWING UP,BLUE WAS THE NICKNAME GIVEN TO ME BY MY FATHER GROWING UP,Y
BENDEJO,7.0,SPANGLISH SLANG FOR VILLAGE IDIOT,PENDEJO CURESE WORD IN SPANISH,N
BYTE ME2,2.0,"BYTE ME TWO, MATCHING SPOUSE'S PLATES","BYTE ME TWO, MATCHING SPOUSE'S PLATES",Y
COJONIS,7.0,IT MEANS COURAGE,THIS LOOKS LIKE THE SPANISH WORK COJONES,N
EXCON,2.0,XCON,EX CON,N
GTSGTFO,3.0,GLOBAL TECHNOLOGY SOLUTIONS GROUP FINANCE OFFICER,GTFO GET THE FUCK  OUT,N
PSI DOC,1.0,PRO SPORTS INSTITUTE DOCTOR,PUSSY DOCTOR,N
TN7,2.0,NAME OF OUR RANCH 10-7,LOOKS LIKE TNT,N
URDUNN4,2.0,LAST NAME IS DUN AND WE ARE A FAMILY OF FOUR,YOURE DONE FOR,N
3100 BLK,4.0,3100 BLOCK,3100 BLOCK,N
BLUSHRK,4.0,BLUE HARLEY,BLUE HARLEY,Y
GOFUKIT,3.0,FOR MOTORCYCLE,GO FUCK IT,N
CHRG4PS,1.0,CHARGE FOR PEACE,LOOKS LIKE CHARGE FOR PS… NOT SURE WHAT PS MEANS,N
BLK88BZ,2.0,NICKNAME AND BIRTH YEAR,88-HITLER. BIRTH YEAR VERIFIED AS '88,N
BUIOO13,2.0,NO MEANING,13-GANG,N
ENOX 13,2.0,MY NAME AND UNION NUMBER,13-GANG,N
IBD88,2.0,MY INITIALS AND LUCKY YEAR,88-HITLER. INITIALS VERIFIED,N
87O,7.0,HISTORIC DATE,A TYPE OF REMINGTON GUN,N
BDAZTKR,3.0,ONE GREAT TRUCK DRIVER,BADASS TRUCKER,N
HLNAUSS,3.0,IM HAULING AUSS (AN AUSTRALIAN SHEPHERD- MY DOG'S BREED),HAULIN ASS,N
88 CAB,2.0,1988 PORSCHE CABRIOLET,1988 PORSCHE CABRIOLET,Y
AENIMA,3.0,THE ROCK BAND TOOL'S SECOND ALBUM TITLE  FROM 1996,CUSTOMER MEANING IS TRUE BUT LOOKS AND SOUNDS LIKE ENEMA,N
ALDRG59,3.0,ALLDREDGE 1959,ALLDREDGE 1959,Y
AMFZB24,3.0,"IT'S MY NAME, JASON, ENCODED TO BASE64. I JUST WANT THE BLACK AND YELLOW PLATE SO THAT'S WHAT I CAME UP WITH.",AMF=ADIOS MOTHERFUCKER,N
BADBASS,1.0,NICK NAME,BASS OR ASS,N
BAD MTF,3.0,CLASSIC CAR,"BAD MOTHERFUCKER, HAS A 57 CHEVY",N
BEAR4SS,1.0,ANIMAL AND CAR MODEL,"BEAR OR BARE ASS, DOES HAVE A 2010  CHEVY",N
BIG D XB,1.0,BIG DENNIS/ BIG DADDY SCION XB,"BIG D=BIG DICK, CUSTOMER NAME IS DENNIS",N
BJS4DDS,1.0,MY INITIALS AND MY WIFE INITIALS,BLOW JOBS FOR DENTAL WORK… CUSTOMER IS BRIAN J SAMUELS,N
BLKKTZE,1.0,IT'S A BUSINESS NAME,IT'S A BUSINESS NAME,Y
BLU PNY,2.0,BLUE PONY,BLUE PONY,Y
BMFN42O,3.0,BEST MUSTANG FORD 420 HORSE POWER,"MOTHERFUCKING 420, HAS 2014 FORD",N
BONE BZ,1.0,ORTHOPEDIC SURGERY,BONE=SEX,N
BROK3 AF,3.0,"BROTHERK3 ARTIC FOX, ITS MY XBOX GAMERTAG AND USERNAME",BROKE AS FUCK,N
CABIN 5O,5.0,OUR CABIN NUMBER FOR OUR HOUSE AT HUME  LAKE.,OUR CABIN NUMBER FOR OUR HOUSE AT HUME  LAKE.,Y
CAULGUY,1.0,PERSON IS BORN WITH A CAUL OR A VEIL. FACE IS COVERED BY PART OF WOMB.IT IS CONSIDERED GOOD LUCK OR VERY SPRITUAL.,CUSTOMER MEANING IS TRUE BUT SOUNDS LIKE 'CALL GUY'… CALL GIRL WOULD BE A PROSTITIUTE,N
CDA14,2.0,FIRST INITIAL OF MY SON MYSELF AND MY SON  AND  BIRTHDAY OF MY HUSBAND,FIRST INITIAL OF MY SON MYSELF AND MY SON  AND  BIRTHDAY OF MY HUSBAND,Y
CHIHOE,1.0,THIS IS MY LEGAL FIRST NAME,"PULLED FOR HOE, THIS IS HIS REAL FIRST NAME",N
CICARIO,2.0,5XPP825,SICARIO MEANS HITMAN OR HIRED KILLER IN SPANISH,N
CLD SQD,5.0,"MY WIFE'S TV SHOW IS ""COLD SQUAD""",COLD SQUAD IS A POLICE TV SHOW,N
CPSLO 13,2.0,"CAL POLY SAN LUIS OBISPO, GRADUATION 2013","CAL POLY SAN LUIS OBISPO, GRADUATION 2013",Y
DAYGO13,2.0,SAN DIEGO 13 LUCKY NUMBER,"DAGO=SLUR AGAINST ITALIANS, 13=GANG NUMBER, NO 2013 CAR",N
DRG DADY,3.0,I LOVE DRAG RACING EVENTS. AND I AM A DAD.,DRUG DADDY,N
DRTY SXO,1.0,TRUCKS ALWAYS DIRTY AND IS A 6 LITER ENGINE,DIRTY SEX (SEXO=SEX IN SPANISH),N
DSCHBAG,2.0,DSCH IS A BRAND OF BAG OF GERMAN  (DEUTSCHE)  BAGS THAT I LOVE.,DOUCHEBAG,N
EAT CHIA,1.0,I AM DOING A RESEARCH ON CHIA SEEDS SO I  WANT TO PROMOTE IT,I AM DOING A RESEARCH ON CHIA SEEDS SO I  WANT TO PROMOTE IT,Y
EVOWEVO,1.0,MEXICAN EGG,"WEVO=HUEVO, CAN MEAN EGG OR TESTICLE",N
FATTO 1,2.0,IT IS THE NAME OF A GIRL IN A PUNJABI SONG   THAT  IS DESCRIBED AS SASSY.,IT IS A SONG. COULD BE INSULTING IN ENGLISH,N
FATTO 2,2.0,FATTO IS THE NAME OF A SASSY GIRL IN A   PUNJABI  SONG,IT IS A SONG. COULD BE INSULTING IN ENGLISH,N
FED S 69,1.0,"ABBREVIATION OF OUR NAME, FEDER.",no 69 car on ani,N
FNVADER,3.0,"""FUN VADER"" THIS IS MY TOY TRUCK, AND IT'S ALL BLACK AND LOOKS LIKE DARTH VADER",EFFIN VADER,N
FRD EETR,1.0,I DON'T LIKE FORD TRUCKS,EAT,N
F TESLA,3.0,TESLAS R TOO ESPENSIVE,FUCK TESLA,N
FTG GCG,3.0,INITIALS IN MEMORY OF MY GRANDPARENTS  FRANCIS THOMAS GRAY AND GRACY CAITLYN   GRAY,FTG=FUCK THE GUARD (COASTGUARD) OR GOVERNMENT…,N
FUQYOU1,3.0,SENTIMENTAL REASONS,FUCK YOU,N
GASPASR,3.0,I AM A NURSE ANESTHETIST,"GAS PASSER, SHE PASSES GAS (FARTS)",N
GD 818,2.0,G-DRAGON'S INITIALS WITH HIS BIRTHDAY. HE IS A KOREAN SINGER AND HE IS MY IDOL,818=LOS ANGELES AREA CODE,N
GETATME,1.0,PICK UP LINE FROM THE 2010'S,PICK UP LINE FROM THE 2010'S,Y
GOBALLA,2.0,MY LAST NAME IS BALLA,"GO BALLER, CUSTOMER LAST NAME IS BALLA",N
GO G MEN,5.0,"GO GIANTS, G-MEN IS A NICKNAME FOR THE SAN FRANCISCO  GIANTS","GO GIANTS, G-MEN IS A NICKNAME FOR THE SAN FRANCISCO  GIANTS",Y
GSGOMG,2.0,KIDS INITIALS,KIDS INITIALS,Y
GTUMBLR,2.0,G WAGON TUMBLER- LIKE FROM BATMAN,G WAGON TUMBLER- LIKE FROM BATMAN,Y
GUN ACE,2.0,MY CHILDREN'S NAMES: GUNTHER AND ACE,gun,N
GURUJP,2.0,GURUJEEP IS MY JEEP'S NAME.,"JAP? NO JEEP ON ANI, HAS HONDA",N
HALF333,2.0,BABY EVIL,BABY EVIL,Y
HALF666,2.0,BABY DEMON,BABY DEMON,Y
HAMMER H,1.0,NICKNAME,HAMMER=PENIS,N
HAMMERS,1.0,HAMMER HAS BEEN MY NICKNAME SINCE I WAS 3 YEARS OLD AND I AM SAYING THAT THE TRUCK IS MINE THROUGH THAT NICKNAME,HAMMER=PENIS,N
HELGRRR,3.0,THE NAME OF THE CAR,THE NAME OF THE CAR,Y
HJ 4G,2.0,4 GIRLS,G=GANGSTER,N
JCSTACO,1.0,JUAN CARLOS TACOMA,"has a toyota truck on ani, pulled for taco=pussy",N
JEFITA,2.0,MOM,MOM,Y
KATITUD,1.0,"ATTITUDE, CATTITUDE. WILL BE ON A JAGUAR.","NO JAGUAR ON ANI, CAT=PUSSY",N
KUCH,1.0,NICK NAME FOR LAST NAME KUCERA,SOUNDS LIKE 'COOCH' WHICH IS SLANG FOR VAGINA,N
LIT FAM,3.0,"SLOGAN, MEANING ITS COOL, FRIENDS",LIT CAN MEAN HIGH OR VERY INTOXICATED,N
LMTHANG,1.0,LITTLE MOTOR THING,"LMT=LICK MY TAINT, LICK MY TWAT.(or Thing) URBAN DICTIONARY (52 UP, 18 UP) Ani shows a BMW UT and a Subaru SW",N
LOW WIRE,3.0,I WORK AS A HI VOLTAGE LINEMAN AND MY CAR IS LOWERED ITS A PLAY ON WORDS,wire=amphetamines,N
LUV CBDS,3.0,"I LOVE CLEO,BEATRIZ,DANNETTE AND STEPHANIE","CBD=CANNABIDIOL, A COMPOUND OF MARIJUANA LIKE THC.",N
MAASSSV,1.0,"MASSIVE, ALSO THE INITIALS OF MY FAMILY AND CLOSE FRIENDS","MASSIVE, COULD HAVE SEXUAL CONNOTATIONS… HAS A 2 DOOR 2015 DODGE",N
MACHN 22,2.0,MEAN MACHINE FROM THE MOVIE THE LONGEST YARD,COULD MEAN A .22 MACHINE GUN,N
MACTEP,1.0,NICKNAME,"MACTEP=RUSSIAN WORD FOR MASTER, DEFINITION ON URBAN DICTIONARY SOUNDS LIKE S&M TYPE MASTER",N
MGADETH,2.0,MY FAVORITE MUSICAL ARTIST,"pulled for death but almost didn’t, it is a band",N
M KILER,2.0,MY MERCEDES AMG IS BETTER THAN BMW M  VARIANTS.,KILLER,N
MRDA RAM,2.0,BLACK COLORED DODGE RAM,murder ram,N
MTL HMR,1.0,I WRITE FOR A MUSIC MAGAZINE CALLED METAL HAMMER.,"THERE IS A MUSIC MAGAZINE CALLED ""METAL HAMMER"". I SAW A SEXUAL CONNOTATION. NO HUMMER ON ANI, HAMMER CAN MEAN PENIS",N
MWAVEEY,3.0,NICKNAME,"URBAN DICTIONARY SAYS 'WAVEY' MEANS VERY DRUNK OR HIGH, OPPOSITE OF SOBER. 456 UP 194 DOWN",N
M8H8S,2.0,MY INITIALS ARE MHS AND MY YEAR OF BIRTH IS 1988,hate,N
NAVY FED,5.0,"""NO MEANING ATTACHED""","FED=A FEDERAL AGENT OR OFFICAL, ESPECIALLY A MEMBER OF THE FBI. OR THE POLICE.",N
NCHEN6A,3.0,AS A LITTLE KID WOULD BE CALLED THIS AS A    NICK  NAME,CHENGA=FUCK IN SPANISH (ALSO SUBSTITUTING BECAUSE ALREADY UNACCEPTABLE WITH THE G),N
