plate,reviewer_comments
REDMAN1,"RED, GANG REFERENCE"
REKHAVK,WREAK HAVOC COULD BE TAKEN AS HOSTILE
RIOTII,"RIOT, CAN BE CONSIDERED HOSTILE"
SJMJBJ,"THE BJ AT THE END STANDS OUT, BJ STANDS FOR BLOW JOB"
SLOW2SS,LOOKS SIMILAR TO SLOW ASS
TM66CAT,"CAT, SEXUAL REFERENCE"
TTO7,TT CAND STAND FOR TITTIE
TXTACO,"TACO, SEXUAL REFERENCE"
WHTTACO,"TACO, SEXUAL REFERENCE"
WOODIE2,"WOODY, COULD BE SEXUAL"
WYTHSE,HSE COULD STAND FOR HOES
XLCROG,"OG, GANG REFERENCE"
XXTRDXX,"TERD, OBSCENE"
YMISOHO,WHY ME SO HOE
1CRUZ3,"13, GANG REFERENCE"
14CYOTE,"14, GANG REFERENCE"
14JK911,"14, GANG REFERENCE"
18924,"18, GANG REFERENCE"
1969JET,"69, SEXUAL REFERENCE"
22728,ALL DIGITS
5OHBOSS,"5O, POLICE REFERENCE"
6FOAD9,"69, SEXUAL REFERENCE"
6LOGIC9,"69, SEXUAL REFERENCE"
661RLTR,AREA CODE
69TCJO2,"69, SEXUAL REFERENCE"
78MIDGT,"MIDGET, OFFENSIVE"
8OCR8,"88, GANG REFERENCE"
88LEI18,"88, 18, GANG REFERENCE"
922O7,ALL DIGITS
PUCK1,SIMILAR TO FUCK
81796,ALL DIGITS
FORDFX,FX COULD STAND FOR FUCKS
AGENT88,"88, GANG REFERENCE"
ELM1428,"THE 14 STANDS OUT, GANG REFERENCE"
MADTANK,"TANK, WEAPON REFERENCE"
MEOW17,"MEOW, SEXUAL REFERENCE"
PONS5O,"5O, POLICE REFERENCE"
ROBIN69,"69, SEXUAL REFERENCE"
YABURNT,BURNT CAN BE A TERM USED TO DESCRIBE A PERSON IS PERMANENTLY STONED
16REDV,"RED, GANG REFERENCE"
8LOWEN8,"88, GANG REFERENCE"
IAPRUVU,"YOU, HOSTILE"
ABBYKAT,PULLED FOR KAT
AJK JRK,JRK = JERK?
BASHITA,PULLED FOR SHIT
BENJA13,13 = GANG NUMBER
BIGCAT 3,PULLED FOR CAT
BLE88ED,88 = GANG NUMBER
BLKKREW,"BLACK CREW, OFFENSIVE"
BVRMANR,PULLED FOR BEAVER
CURRY BZ,BEEZY = BITCH
DMNWTHN,DEMON WITHIN
DPLRBLE,DEPLORABLE
EFN SWT,FUCKIN' SWEET
EL KITTY,PULLED FOR KITTY (2016 DODGE ON ANI)
FIVOGRL,5 O GIRL
FTW SRT8,FTW = FUCK THE WORLD
GREEKAF,AF = AS FUCK
HTRD MBZ,HRTD = HATRED?
H1670,LOOK ALIKE
H8TWBLB,PULLED FOR H8 = HATE
IM2FAT,OFFENSIVE?
JSTRMIT,"JUST RAM IT, COULD HAVE SEXUAL CONNOTATION"
LHJ 1314,"13,14 = GANG NUMBER"
LH8,PULLED FOR H8 = HATE
LUVDCKY,COULD HAVE SEXUAL CONNOTATION
MARK288,88 = HATE NUMBER
MOB SQD,PULLED FOR MOB
MOPRKLR,KLR = KILLER
MSTR B,STAND ALONE B
MTNCAT1,PULLED FOR CAT
MYSTRY D,STAND ALONE D
PAISA 1,GANG REFERENCE
PJG13 13,13 = GANG NUMBER
QWIK AF,AF = AS FUCK
SD BULLY,"PULLED FOR BULLY, HOSTILE"
SILVA13,13 = GANG NUMBER
SO 356,PULLED FOR 356 (MAGNUM)
STA BRTL,PULLED FOR BRUTAL
SXCANGA,COULD HAVE SEXUAL CONNOTATION
TRD4RON,PULLED FOR TRD
UH8NHUH,PULLED FOR H8 = HATE
VEGA G,STAND ALONE G
WLDCAT3,PULLED FOR CAT
WLDKAT1,PULLED FOR KAT
WUPAASS,WHIP ASS
1SLWCAT,PULLED FOR CAT
2GUNNYS,PULLED FOR GUN
2JAPOW,PULLED FOR JAP
5OYATES,PULLED FOR 5O
9OO22,ZIP CODE
PAZZO 13,13 = GANG NUMBER
LVCAT8,PULLED FOR CAT
# YPM14,14 = GANG NUMBER
NUTFMR,COULD HAVE SEXUAL CONNOTATION
YH8ME2,PULLED FOR H8 = HATE
CLIF415,415 = AREA CODE
FRODO 13,13 = GANG NUMBER
MBN AF,AF = AS FUCK
MDK1111,MDK = MURDER DEATH KILL
MFG REP,MFG = MOTHERFUCKING?
O GGG O,PULLED FOR OG
OMW2FYL,FYL = FUCK YOUR LIFE
WLDKAT4,PULLED FOR KAT
XXXLDOG,PULLED FOR XXX
YT13FTR,13 = GANG NUMBER
14GCI,14 = GANG NUMBER
REALL13,13 = GANG NUMBER
PALOG,"G, GANG REFERENCE"
PGPEN,"PIG, POLICE REFERENCE"
AQUANOB,NOB CAN BE ANOTHER WORD FOR PENIS
BBPROPS,BB CAN STAND FOR BAREBACK
BCHWSKY,BCH CAN STAND FOR BITCH
BCKSTBD,"STABBED, HOSTILE"
BLULVS,"BLUE, GANG REFERENCE"
BOXLAND,BOX CAN BE ANOTHER WORD FOR VAGINA
BYKITTY,"KITTY, SEXUAL REFERENCE"
BZZROLL,BZ CAN STAND FOR BITCH
CMXXV,"925 IN ROMAN NUMERALS, AREA CODE"
CTSV415,AREA CODE
CWO131O,"THE 13 STANDS OUT AND 31O IS AN AREA CODE, GANG REFERENCE"
DEESVGE,"SAVAGE, HOSTILE"
DONTH8E,"HATE, HOSTILE"
DSL4FUN,DSL CAN STAND FOR DICK SUCKING LIPS
ENROD,ROD CAN BE ANOTHER WORD FOR PENIS
ENYASS,"""IN YOUR ASS"" SEXUAL REFERENCE"
FNSUPCA,FN CAN STAND FOR FUCKING
HAHABIH,BIH CAN BE SHORT FOR BITCH
HOGHNTR,"HUNTER, HOSTILE"
HSTL4LF,"HUSTLE FOR LIFE, GANG REFERENCE"
ILLMN8R,ILLIMINATOR COULD BE CONSIDERED HOSTILE
JOSA13,"13, GANG REFERENCE"
KK786OG,"OG, GANG REFERENCE"
LUCKSSS,SS COULD STAND FOR ASS
L889O93,LOOK ALIKE
MANNYSS,SS COULD STAND FOR ASS
MNDMNKY,MONKEY CAN BE A DEROGATORY TERM
MNMNMMN,THE LETTERS ALL LOOK THE SAME
MNTNGRO,THE CUSTOMERS LAST NAME IS MONTENEGRO HOWEVER NEGRO CAN BE A DEROGATORY TERM
MRSD5O,"5O, POLICE REFERENCE"
OMWTFYL,"""ON MY WAY TO FUCK YOUR LADY"""
ORGAZMO,"CLOSE TO ORGASM, SEXUAL REFERENCE"
OVRKLL1,"KILL, HOSTILE"
O8283Y1,LOOK ALIKE
PEPE7O,PEPE CAN BE A WORD FOR PENIS
RDWABBT,"RED, GANG REFERENCE"
REDOCRN,"RED, GANG REFERENCE"
SLUG8O,SLUG IS A WEAPON REFERENCE
SREAPER,"REAPER, SOME COULD FIND HOSTILE"
SRTCATT,"CAT, SEXUAL REFERENCE"
SURFHIK,HICK CAN BE A DEROGATORY TERM
THESTIK,COULD BE MAKING A REFERENCE TO A PENIS
TT234,"TT, TITTIE, SEXUAL REFERENCE"
UTRIPN,"YOU, HOSTILE"
VELOZ13,"13, GANG REFERENCE"
VMSTT88,"88, GANG REFERENCE"
WAVYAF,AF CAN STAND FOR AS FUCK
2OO1E38,LOOK ALIKE
25OMOB,"MOB, GANG REFERENCE"
365,ALL DIGITS
4O8STKR,AREA CODE
415OSMG,AREA CODE
48BOMBR,"BOMBER, WEAPON REFERENCE"
5OFUZZ,"5O, POLICE REFERENCE"
5OSTARS,"5O, POLICE REFERENCE"
7GTHANG,"G, GANG REFERENCE"
71JEFE,JEFE MEANS BOSS BUT IS A WORD COMMONLY USED BY GANG MEMBERS AND CARTEL MEMEBERS
77AAS88,"88, GANG REFERENCE"
9397O3C,LOOK ALIKE
95BS,BS CAN STAND FOR BULL SHIT
955O1,ALL DIGITS
GUZZI14,"14, GANG REFERENCE"
REDEYEP,"RED, GANG REFERENCE"
7O7MOJO,AREA CODE
8UNO8,AREA CODE
PNKG,"G, GANG REFERENCE"
JAG4AK,WEAPON REFERENCE
DONOHOE,DONOHOE IS THE CUSTOMERS LAST NAME BUT THE HOE AT THE END STANDS OUT
IMAFARY,"FAIRY, LGBTQ REFERENCE"
KRKRBOX,BOX CAN BE ANOTHER WORD FOR VAGINA
NETHG4U,"THUG FOR YOU, GANG REFERENCE"
QNIZZLE,NIZZLE CAN BE ANOTHER WORD FOR NIGGA
QOQQQQQ,ALL THE LETTERS LOOK THE SAME
SASSNU,"YOU, HOSTILE"
XBLUBOS,"BLUE, GANG REFERENCE"
O7131OS,LOOK ALIKE
YEAHBUT,"BUTT, SEXUAL REFERENCE"
ADA88,88 = HATE NUMBER
JULES B,STAND ALONE B
BCHIN 15,BITCHIN' ?
BDADDY 7,BIG DADDY
BLCKCHN,"BLOCK CHAIN, VULGAR"
BLKFIST,"BLACK FIST, MAY BE OFFENSIVE"
BOMBH2O,PULLED FOR BOMB
BRAR 88,88 = HATE NUMBER
BRAZY SS,BRAZY = BLOOD GANG REFERENCE
BSHROCH,BISH = BITCH
BUTNGUT,PULLED FOR BUTT
CFBBC,"BBC CAN ALSO MEAN BIG BLACK COCK, VULGAR"
C4 964,C4 = EXPLOSIVE
DBEAST8,COULD HAVE SEXUAL CONNOTATION
DCV8888,88 = HATE NUMBER
DNTGVA7,DON’T GIVE A F?
D88V88D,88 = HATE NUMBER
FISTING,COULD HAVE SEXUAL CONNOTATION
FMILIA G,STAND ALONE G
FM 666,PULLED FOR 666
GLOCK 22,GUN
GNSTR OL,GANGSTER?
GOON EZ,PULLED FOR GOON
GUMGUM D,COULD HAVE SEXUAL CONNOTATION
IDOSINN,I DO SIN
IROC 88,88 = HATE NUMBER (NO 1988 ON ANI)
JAX 18,18 = GANG NUMBER
JINGANG,PULLED FOR GANG
JK MIOFF,JACK ME OFF? VULGAR
KAALGAT,PULLED FOR GAT = GUN
KISFIST,HOSTILE
KOCRNTS,KOCHER NUTS
KUGL 14,14 = GANG NUMBER (NO 2014 ON ANI)
K1TENNN,KITTEN
L GUACHO,VULGAR TERM IN SPANISH
MADHAQR,MAD HACKER
MILK B,STAND ALONE B
MKUWET,MAKE YOU WET
MNKYSRK,PULLED FOR MONKEY
MSA1313,13 = GANG NUMBER
NAST WMN,COULD HAVE SEXUAL CONNOTATION
NO HATER,PULLED FOR HATER
NOOAH 13,13 = GANG NUMBER
OH GE3,OG
O1 JEFA,HEFFA
PNK MTL,COULD HAVE SEXUAL CONNOTATION
PROJT G,STAND ALONE G
PURO 5OS,PULLED FOR 5O
QICK AF,QUICK AS FUCK
RCYTRCY,COULD HAVE SEXUAL CONNOTATION
RED TRD,PULLED FOR TRD
RTCAKEZ,PULLED FOR CAKES
SAVAGEJ,"PULLED FOR SAVAGE, HOSTILE"
SITH13,13 = GANG NUMBER
SITH 5OH,PULLED FOR 5O
SSBIG BK,PULLED FOR BK
S 666 S,PULLED FOR 666
TAC TRD,PULLED FOR TRD
VICHY5 O,PULLED FOR 5O
YMORE14,14 = GANG NUMBER (2014 ON ANI)
ZZ72ZZZ,CONFIGURATION
Z7Z77Z7,CONFIGURATION
1KRZSOB,ONE CRAZY SON OF A BITCH
12VFHTE,PULLED FOR HATE
13FOX,13 = GANG NUMBER
14 F TYP,14 = GANG NUMBER (2014 ON ANI)
14 W212,14 = GANG NUMBER (2014 ON ANI)
55 SLAY,PULLED FOR SLAY
69NTRDR,PULLED FOR 69 (1969 ON ANI)
7O7HLKT,707 = AREA CODE (2015 DODGE ON ANI)
8BOB8,88 = HATE NUMBER
8SHIRL8,88 = HATE NUMBER
816JD C4,C4 = EXPLOSIVE
D POWER1,COULD HAVE SEXUAL CONNOTATION
8O5 FZO7,805 = AREA CODE
DIRTY$R,COULD HAVE SEXUAL CONNOTATION
LINGUS,COULD HAVE SEXUAL CONNOTATION
WORHMR,WAR HAMMER
AF FAMLY,AF = AS FUCK
DA MUTTS,MUTTS CAN BE OFFENSIVE
TAC OS5,TACOS
YZYMFIA,YEEZY MAFIA
66AA666,PULLED FOR 666
DIXSOUT,DICKS OUT?
AMF 2K,"AMF=ADIOS MOTHERFUCKER, HER MIDDLE NAME IS ROSALES SO THIS ISNT HER INITIALS"
ARTIE 88,"88=HATE SYMBOL, NO 1988 CAR ON ANI"
A6 ORDI,A6 OR DIE. A6 WAS A NAVY ATTACK AIRCRAFT. SIMILAR PLATE EXPIRED 2003 (A6ORDIE)
BGJAPV8,JAP- OFFENSIVE TERM FOR JAPANESE
BLK PIG,PIG=DEROGATORY SLANG FOR POLICE
BMG 13,"13=GANG NUMBER, NO 2013 CAR ON ANI"
BOTO LOA,BOTO=GROIN AREA OR PENIS IN HAWAIIAN AND TAGALOG… LOA MEANS LONG…
BYE TACO,TACO=PUSSY
CHRIS18,18=hate symbol
CHUZMA 2,REVERSO DICTIONARY TRANSLATES 'CHUSMA' TO 'MOB' OR 'RIFFRAFF' URBAN DICTIONARY SAYS IT'S CUBAN SPANISH THAT MEANS 'LOWLIFE'
CHY CBZN,GOOGLE TRANSLATE: CHUY CABEZON=SUCKING HEAD
COOKPIG,"PIG=DEROGATORY SLANG FOR POLICE, CUSTOMER LAST NAME IS 'COOK'"
COPMNOT,COP
CRZSSML,CRAZY
C S I6,CSI=CRIME SCENE INVESTIGATOR (LAW ENFORCEMENT) NO BMW ON ANI
CTM 72,EITHER 'CONCHA DE TU MADRE' ( YOUR MOTHERS' PUSSY) OR URBAN DICTIONARY SAYS: CONCHE TU MADRE=MOTHER FUCKER (it's not his initials)
DEZ2NTS,"these 2 nuts, DEEZ NUTS=BALLS"
FAAAAAT,fat… some similar plates are out there
FHBLACK,f=fuck last name is Hernandez
G2 BLAST,"DID A GOOGLE SEARCH AND G2 COULD BE A HANDGUN. IT IS ALSO JIMMY NEUTRONS CATCH PHRASE ""GOTTA BLAST!"""
HO NOS,HO KNOWS
I87 LIFT,187=PENAL CODE FOR MURDER
JTNT 418,"TNT=DYNAMITE, CUSTOMER IS JACLYN THOMPSON"
LUNA 747,747 IS LOS ANGELES AREA CODE
MONDRAG,I'M ON THE RAG. (HAVING ONE'S PERIOD) CUSTOMER LAST NAME IS MONDRAGON
NEGRA 92,"NEGRA=BLACK IN SPANISH, CUSTOMER DOES HAVE A 1992 CHEVY"
OMW2SYH,on my way to steal your husband?
PWENELA,"WEENIE, L.A.? COULD BE SPANISH BUT I CANT TRANSLATE"
RZ1AWNG,wang=penis
SAX LAVA,"SEX LOVER, DOESN’T TRANSLATE AS ARMENIAN"
S3MPFYB,semper fi bitch or fuck you (or your) bitch
TCBLAMF,MF
WINEDC4,"WINED C4, C4 IS A CORVETTER OR AN EXPLOSIVE. CUSTOMER HAS AN ACURA"
WLAFICA,WEST L.A. PUSSY (FICA=PUSSY IN ITALIAN)
YTNWYLD,"white and wild, racial?"
ZLWON13,"13=GANG NUMBER, NO 2013 CAR ON ANI"
ZL14SUN,14=HATE SYMBOL
1BLKBOX,box=vagina. Customer has a 2016 Ford UT
1LA3JPS,"JP OR JAP, CUSTOMER INITIALS ARE LAG"
46NTOOL,TOOL=A PENIS OR A STUPID PERSON OR THE BAND 'TOOL'
5OCLGNR,"50=POLICE, NO MUSTANG ON ANI"
8EE OTCH,BEEOTCH=BITCH****THIS IS A CONVERSION (DUPLICATE)BUT IT WAS SUBPLATED TO SEQ LEGACY 2 WEEKS AGO. IS IT A RECALL? OR DO WE WANT TO RECALL?***
88GHOST,"88=HATE SYMBOL, NO 1988 CAR ON ANI"
88MAY 1,"88=HATE SYMBOL, NO 1988 CAR ON ANI"
BK PNTHR,BLKPNTR IS UNACCEPTABLE… MAYBE BECAUSE OF THE BLACK PANTHER PARTY? THERE IS A BLACK PANTHER SUPERHERO WITH A MOVIE COMING IN 2018
CHINO 13,"13=GANG NUMBER, NO 2013 CAR ON ANI"
J DIXX,"DICKS, LAST NAME IS DICKERSON"
P DIXX,"SAME CUSTOMER, JOHN DICKERSON"
13BEEST,"13=GANG NUMBER, HAS A 2013"
AMD88,"88=HATE SYMBOL, NO 1988 CAR ON ANI"
EASY22,22=GUN
MERC82,MERC=KILL
OECHIT,SHIT
BLEWXU,"BLEW BY YOU, SEXUAL"
BLKHDR,BLACK HATER?
BLUEBEA,BLUE=GANG COLOR
HIT DEER,MORBID
JML88,"88=HATE SYMBOL, NO 1988 CAR ON ANI"
KITTY UP,KITTY=PUSSY
MY6EHOE,"HOE, HAS HONDA"
ODDCATT,"CAT, HER NAME IS CATHYE"
TNTDAVE,TNT=DYNAMITE
65O HRSE,650 IS A BAY AREA CODE
FNRSWLF,EFFIN (FUCKING) RS WOLF
GMA BLUE,BLUE=GANG COLOR
GOT2BTC,GOT TO BITCH? THAT IS HER NAME AND INITIALS
CRYPTNT,"CRYP, SIMILAR TO CRIP, GANG REFERENCE"
RBAD65O,AREA CODE
415HOGS,AREA CODE
PNUTTY,"NUT, CAN BE SEXUAL"
BACKDR,"BACK DOOR, COULD BE TAKEN AS SEXUAL, BACK DOOR REFERS TO SOMEONES BUTT"
BAIBOMR,"BOMBER, WEAPON REFERENCE"
BJK18,"18, GANG REFERENCE"
BLEKCAT,"CAT, CAN BE SEXUAL"
BMW1316,"13, GANG REFERENCE"
BOMBH2,"BOMB, WEAPON REFERENCE"
BULLET2,"BULLET, WEAPON REFERENCE"
CAWCAWW,"SOUNDS LIKE CACA, ANOTHER WORD FOR POOP, OBSCENE"
COCONTS,"NUTS, CAN BE SEXUAL"
CRMPY88,"88, GANG REFERENCE"
CSC8118,"18, GANG REFERENCE"
CSTLPMP,THE PMP AT THE END STANDS OUT AND IS SIMILAR TO PIMP
DAMVINO,"DAMN, SOME COULD FIND OFFENSIVE OR VIEW AS A BAD WORD"
DIRTYYV,"THE V COULD STAND FOR VAGINA, DIRTY VAGINA"
DTHROWE,"DEATH ROW, SOME COULD FIND THIS PLATE HOSTILE"
EFMOBIL,EF COULD STAND FOR FUCK
EGADETH,"DEATH, SOME COULD FIND IT HOSTILE"
EPIGNSS,"PIG STANDS OUT TO ME, POLICE REFERENCE"
FESSES,"SIMILAR TO FECES, OBSCENE"
FLADYZ,"THE F COULD STAND FOR FUCK, ""FUCK LADY Z"""
FVEOOOH,"5O, POLICE REFERENCE"
GMAN1,"G, GANG REFERENCE"
GQ5O,"5O, POLICE REFERENCE"
GUNNR26,"GUNNER, WEAPON REFERENCE"
HAUNTU,"YOU, HOSTILE"
HNT4DNR,"HUNT, COULD BE SEEN AS HOSTILE"
IXINGHU,"LOOKS LIKE ""I XING YOU"" SOUNDS LIKE IT COULD BE HOSTILE"
JUZTJO,"JO CAN STAND FOR JACK OFF, SEXUAL"
KITTEN1,"KITTEN, SEXUAL"
KOOLPIE,"PIE, SEXUAL"
K5OQROO,"THE 5O STANDS OUT, POLICE REFERENCE"
LORDV,"THE V COULD STAND FOR VAGINA, LORD VAGINA"
MEOWCO,"MEOW, REFERENCING A CAT, SEXUAL REFERENCE"
MJR13,"13, GANG REFERENCE"
MOBBENZ,"MOB, GANG REFERENCE"
MOKILLX,"KILL, HOSTILE"
MT714,AREA CODE
MUTTROD,ROD CAN BE ANOTHER WORD FOR PENIS
MYOPUS1,"PUS CAN BE SHORT FOR PUSSY, SEXUAL"
M29813Z,"THE 13 STANDS OUT, GANG REFERENCE"
OGGRAMA,"OG, GANG REFERENCE"
OMWTSYG,"ON MY WAY TO STEAL YOUR GIRL, COULD BE TAKEN AS HOSTILE OR AGGRESSIVE"
O13VELO,"13, GANG REFERENCE"
PIETRUK,"PIE, SEXUAL"
ROCKCAT,"CAT, CAN BE SEXUAL"
STEVE5O,"5O, POLICE REFERENCE"
TIEAX13,"13, GANG REFERENCE"
VADR13,"13, GANG REFERENCE"
WYFYS13,"13, GANG REFERENCE"
XAHUEVO,AHUEVO MEANS FUCK YEAH IN SPANISH
XGNRX,"GNR, SIMILAR TO GUNNER, WEAPON REFERENCE"
XIVOFXV,"XIV, 14, GANG REFERENCE"
YULBSRY,"YOU'LL BE SORRY, HOSTILE"
ZAL18AZ,"18, GANG REFERENCE"
1RAMS13,"13, GANG REFERENCE"
16HELL,"HELL, SOME MAY FIND OFFENSIVE"
18MSU55,"18, GANG REFERENCE"
1973BMF,BMF CAN STAND FOR BAM MOTHER FUCKER
3JOH2SA,ASSHOLE BACKWARDS
642,ALL DIGITS
714LOPZ,AREA CODE
86868,ALL DIGITS
9IMPSS6,"9IMP IS SIMILAR TO PIMP, SEXUAL REFERENCE"
AHRIBB,"AHRI (KIDS HEART) BB, COULD STAND FOR AHRI LOVES BAREBACK, SEXUAL REFERENCE"
4MM713,AREA CODE
FNZUP,FN CAN MEAN FUCKING
BLUSPOT,"BLUE, GANG REFERENCE"
RODNOCK,ROD CAN BE ANOTHER WORD FOR PENIS
JENN14,"14, GANG REFERENCE"
MUDDYAF,AF STANDS FOR AS FUCK
MYSWORD,SWORD COULD BE A REFERENCE TO A PENIS
SALNBLU,"BLUE, GANG REFERENCE"
WRK2HNT,"HUNT, COULD BE SEEN AS HOSTILE"
5OACRES,"5O, POLICE REFERENCE"
OHB,THE B COULD STAND FOR BITCH
MEYOU,"YOU, COULD BE HOSTILE"
ARSNUL,"ARSENAL IS A COLLECTION OF WEAPONS, WEAPON REFERENCE"
BBBBB88,"88, GANG REFERENCE"
BB18I,"18, GANG REFERENCE"
BCHRAT,BCH COULD STAND FOR BITCH (LEGACY PLATE)
BIZATCH,SLANG WORD FOR BITCH
BJS1969,"BJ AND 69, SEXUAL REFERENCE (CANT SEE 1969)"
BJ69GTO,"BJ AND 69, SEXUAL REFERENCE (CANT SEE 1969)"
BNHUNTN,"HUNTING, HOSTILE"
CHIEFV,THE V COULD STAND FOR VAGINA
CMLXXX1,"XXX, SEXUAL REFERENCE"
CUNERDS,"NERDS, SOME COULD FIND OFFENSIVE"
DAMTGRM,"DAMMIT, PROFANITY"
EA13,"13, GANG REFERENCE"
EA14,"14, GANG REFERENCE"
FATALGT,"FATAL, COULD BE HOSTILE"
F15USAF,AF CAN STAND FOR AS FUCK
GHST5OH,"5O, POLICE REFERENCE (FORD COUP ON RECORD)"
HBREEZY,BREEZY CAN BE ANOTHER WORD FOR SLUT
HPARMRY,"ARMORY, WEAPON REFERENCE"
IDKYOU,"YOU, COULD BE HOSTILE"
JSP88,"88, GANG REFERENCE"
J13 93,"13, GANG REFERENCE"
KILABMR,"KILLA, HOSTILE"
MONKERZ,"MONKEY, DEROGATORY TERM"
NUKEZ,WEAPON REFERENCE
OGHACH,"OG, GANG REFERENCE"
O 2 6O,ALL DIGITS
PCAT,"PUSSY CAT, SEXUAL REFERENCE"
RG4LHD,"RG4L STANDS FOR REAL G FOR LIFE, GANG REFERENCE"
RIC 5O,"5O, POLICE REFERENCE (NO 50 ON RECORD)"
RUDY8O5,AREA CODE
SHANGO1,"SHANGO IS A RELIGIOUS CULT, COULD BE HOSTILE"
SHATA6O,SHATA CAN BE A WORD MEANING PUBIC HAIR
STMPAHO,"STOMP A HO, HOSTILE"
SUBIE AF,AF CAN STAND FOR AS FUCK (CUSTOMERS INITIALS ARE AF)
TANG MAN,TANG IS ANOTHER WORD FOR VAGINA (CUSTOMERS NAME IS TANG)
TINWUDY,"WOODY, ANOTHER WORD FOR PENIS"
TRDDPRO,"TRD IS SIMILAR TO TERD, OBSCENE"
UMADDOH,"YOU MAD THOUGH, HOSTILE"
WQLFPAC,"SUBSTITUTION, THERE IS A PLATE ALREADY THAT IS ""WOLFPAC"""
XTIEFTR,"FIGHTER, HOSTILE"
YIQI666,"666, SOME MAY FIND HOSTILE OR OFFENSIVE"
1BIGGUN,"GUN, WEAPON REFERENCE"
11916,ALL DIGITS
13AKOH,"13, GANG REFERENCE"
14ON799,"14, GANG REFERENCE"
14OPLUS,"14, GANG REFERENCE"
159,ALL DIGITS
39891,ALL DIGITS
51O2O,"AREA CODE, 51O"
51O5O,"AREA CODE, 51O"
65WLLYS,"WILLY, CAN BE ANOTHER WORD FOR PENIS (NO 65 ON RECORD)"
68STROK,STROKE COULD BE SEXUAL (68 CHEVY ON RECORD)
69 CUUGR,"69, SEXUAL REFERENCE (69 MERCURY ON RECORD)"
81965,ALL DIGITS
BRNGBLU,"BLUE, GANG REFERENCE"
HAFNUTZ,"NUTS, SEXUAL"
LUKYA55,LUCKY ASS
2133,ALL DIGITS
5OTH HD,"5O, POLICE REFERENCE"
MSNIKA,NIKA CAN BE ANOTHER WORD FOR NIGGA (CUSTOMERS NAME IS TONIKA)
21777,ALL DIGITS
ALSET OG,"OG, GANG REFERENCE"
BIGDUFF,"DUFF STANDS FOR DESIGNATED UGLY FAT FRIEND, SOME MAY FIND OFFENSIVE (CUSTOMERS LAST NAME IS DUFFY)"
13ACL,"13, GANG REFERENCE (ABSOLUTE LIMO SEQUENCE)"
14ACL,"14, GANG REFERENCE (ABSOLUTE LIMO SEQUENCE)"
JUSTTIP,"""JUST THE TIP"" SEXUAL REFERENCE"
BLUFEET,"BLUE, GANG REFERENCE"
MOBIDCK,"DICK, SEXUAL REFERENCE"
PWAGUN,"THE P COULD STAND FOR PUSSY, PUSSY WAGON"
ACMPLCE,PERSON WHO HELPS ANOTHER COMMIT A CRIME
BOOKS B,STAND ALONE B
DIX4WHL,PULLED FOR DIX
DODO BBY,DOO DOO BABY
DRAPIST,TOO CLOSE TO RAPIST
EDILOCS,LOC CAN BE GANG REFERENCE
EXALT G,STAND ALONE G
FKN LUPE,PULLED FOR FKN
FYREPIG,PULLED FOR PIG (FIREPIG IS UNACCEPTABLE)
GJKHVAG,PULLED FOR VAG
G MGMMCF,STAND ALONE G
GRVDGRS,GRAVEDIGGERS
HBGRL1 3,13 = GANG NUMBER
IM BLAKY,OFFENSIVE?
KAVLA69,PULLED FOR 69 (1969 CHEVY ON ANI)
KEEZMY S,KISS MY ASS
KLRBEEH,PULLED FOR KILLER
LA 4GNNR,PULLED FOR GUNNER
LMFAO V8,LAUGH MY FUCKING ASS OFF
LOTUSH,PULLED FOR TUSH
LOVEY69,PULLED FOR 69 (1969 GMC ON ANI)
LOVMCHN,COULD HAVE SEXUAL CONNOTATION
LTL GOON,PULLED FOR GOON
MORI TAT,DEATH
NFY8888,88 = HATE NUMBER
O2D R13,13 = GANG NUMBER
O4764B2,LOOK ALIKE
PIAMESS,PMS?
RAGE ON,HOSTILE
RCKN911,PULLED FOR 911 (NO ANI)
SAVAGE I,HOSTILE
SAVG TRD,"PULLED FOR SAVAGE, TRD"
STAN187,PULLED FOR 187 = MURDER
SXXTY 9,PULLED FOR 69 (NO 1969 ON ANI)
TAL2313,13 = GANG NUMBER
TNT O1,TNT = EXPLOSIVE
TNT REX,TNT = EXPLOSIVE
TOAST69,PULLED FOR 69 (NO 1969 ON ANI)
TPLS4ME,"TOPLESS FOR ME, COULD HAVE SEXUAL CONNOTATION (CONVERTIBLE ON RECORD)"
TWIN TTZ,COULD HAVE SEXUAL CONNOTATION
UR13E,13 = GANG NUMBER
WIWI 57,"PULLED FOR WIWI, OFFENSIVE?"
W3T W3T,COULD HAVE SEXUAL CONNOTATION
ZAHNR13,13 = GANG NUMBER
1NASTY T,COULD HAVE SEXUAL CONNOTATION (HAS 1929 FORD ON RECORD)
13 DON,13 = GANG NUMBER
2LVNDIE,PULLED FOR DIE
5GJJS2O,LOOK ALIKE
559 RIDE,559 = AREA CODE
69EJAGG,PULLED FOR 69 (NO 1969 ON ANI)
69 HARD,PULLED FOR 69 (1969 CHEVY ON ANI)
69MIURA,PULLED FOR 69 (NO 1969 ON ANI)
8AIGHT8,88 = HATE NUMBER
8 AKI 8,88 = HATE NUMBER
JRK,JERK
PSYCAT,COULD HAVE SEXUAL CONNOTATION
PISTLE$,PISTOL
$SMYCAT,COULD HAVE SEXUAL CONNOTATION
DADAZZ,AZZ COULD BE TAKEN AS ASS
MSLYNCH,"LYNCH, HOSTILE"
NO FKS,NO FUCKS?
